enum_name,location,dist_lab,reg_lab,loc_lab,fms_lab,state_lab,school_name,cluster_id,uniqueid,consent,location_resp,neighborhood,gender,age,income_band,income_mid,mch_funder,mch_funder_rand,mch_time,hc_pref,hc_pref_rand,school_pref,school_pref_rand,income10pct,income5pct,willing_insurance10,willing_insurance5,trust_dist,trust_dist_rand,trust_fms,trust_fms_rand,trust_fgs,trust_fgs_rand,support_rem,support_closefam,support_clan,support_aid,amount_rem,amount_closefam,amount_clan,amount_aid,tax_willing,tax_willing_rand,clan_tax,clan_tax_freq,clan_tax_freq_oth,clan_tax_amt,clan_tax_allmen,clan_tax_female,clan_tax_female_rand,csupp_subclan,csupp_subclan_rand,csupp_connection,csupp_connection_rand,csupp_need,csupp_need_rand,csupp_severity,csupp_severity_rand,csupp_fundsavail,csupp_fundsavail_rand,csupp_age,csupp_age_rand,csupp_gender,csupp_gender_rand,support_timing,csupp_likely,csupp_likely_rand,trust_dc,trust_dc_rand,trust_hir,trust_hir_rand,trust_gal,trust_gal_rand,trust_punt,trust_punt_rand,trust_sws,trust_sws_rand,trust_fgspres,trust_fgspres_rand,trust_imam,trust_imam_rand,trust_aqil,trust_aqil_rand,hh_size,born_district,born_district_oth,years_moved_dist,clan_family,clan,clan_oth,subclan,subclan_oth
20,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1103,ADA1103_14_2,1,1,Xaafada galbeed,0,29,3,150,5,0,1,2,1,1,0,15,7.5,1,,3,1,2,1,2,1,0,0,0,0,,,,,1,0,1,97,Bilahan maan arag,5,1,3,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,3,3,1,1,1,,,1,1,,,,,1,1,1,1,1,1,4,1,,,3,307,,30710,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1103,ADA1103_1_1,1,1,wabari,1,20,3,150,5,0,1,1,1,3,1,15,7.5,1,,2,0,1,0,2,0,1,1,0,0,200,50,,,1,0,1,3,,10,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,2,1,1,0,,,1,0,,,,,1,0,1,0,1,0,2,1,,,3,307,,30704,
6,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1103,ADA1103_1_3,1,1,Galbeed,1,18,3,150,4,0,2,1,0,1,0,15,7.5,0,,1,0,2,0,1,0,0,0,0,0,,,,,2,1,0,,,,,,,0,1,0,1,0,1,1,1,0,1,0,1,0,1,4,1,0,2,0,,,1,0,,,,,1,0,1,0,1,0,7,1,,,3,307,,30708,
8,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1103,ADA1103_7_1,1,1,Galbeed,0,52,1,25,5,1,5,2,0,1,1,2.5,1.25,1,,1,1,1,1,1,1,0,0,0,0,,,,,1,0,1,1,,100,1,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,6,3,1,3,1,,,1,1,,,,,1,1,1,1,1,1,11,1,,,3,307,,30799,
6,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1114,ADA1114_9_1,1,1,Galbeed,1,21,6,750,4,0,2,2,0,1,1,75,37.5,0,,2,0,2,0,2,0,0,1,0,0,,500,,,2,0,0,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,2,1,2,1,,,1,1,,,,,3,1,1,1,1,1,10,137,,4,3,307,,30709,
7,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1117,ADA1117_13_1,1,1,Kaam badbaado,1,49,2,75,1,1,6,1,0,1,1,7.5,3.75,1,,1,0,1,0,1,0,1,0,0,1,0,,,0,1,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,0,1,0,,,1,0,,,,,2,0,1,0,1,0,11,997,Xamar meel hoos  timaada oo shalanboor la yidhaa,5,1,197,Cumar maxamuud,,
11,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1119,ADA1119_19_2,1,1,Hodan,1,45,3,150,3,0,2,1,0,1,1,15,7.5,1,,1,0,1,0,1,0,0,0,0,1,,,,55,1,1,0,,,,,,,0,1,1,1,1,1,1,1,0,1,0,1,0,1,99,1,1,1,0,,,3,0,,,,,1,0,1,0,1,0,10,1,,,3,307,,30712,
4,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1119,ADA1119_22_1,1,1,Daryeel,0,33,2,75,5,1,3,2,0,1,1,7.5,3.75,1,,1,0,1,0,1,0,0,0,1,1,,,40,50,1,0,0,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,,,1,0,,,,,1,0,1,0,1,0,7,1,,,3,307,,30797,Maxamud cumar
3,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1127,ADA1127_1_1,1,1,Waaberi,1,30,2,75,5,1,6,2,1,1,1,7.5,3.75,1,,1,0,1,0,1,0,0,0,1,1,,,50,30,3,0,0,,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,1,1,1,0,,,1,0,,,,,1,0,1,0,1,0,10,1,,,3,307,,30701,
7,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1129,ADA1129_19_2,1,1,Bakiin,1,21,2,75,5,0,4,1,1,3,1,7.5,3.75,1,,2,1,2,1,2,1,1,1,0,0,100,30,,,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,,,2,1,,,,,2,1,1,1,2,1,2,997,Mudug,4,1,108,,,
12,1,Cadaado,Galgaduud,Galmudug,Galmudug,Galmudug,Hayaan Hoose iyo Dhexe Dugsiga,ADA1129,ADA1129_3_1,1,1,Waaberi,1,24,4,250,5,1,1,2,0,1,0,25,12.5,1,,1,1,1,1,1,1,0,0,0,1,,,,20,1,0,0,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6,2,0,2,0,,,1,0,,,,,1,0,1,0,2,0,6,997,Buurta nabada,5,3,307,,30706,
